"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","should access leave requests endpoint","webkit","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"Verify that a user can login with valid admin credentials","4675","should login with valid credentials @critical","webkit","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","4127","Login with test_user should failure","webkit","2026-04-15","passed","2026-04-15","","data-driven/login-data-driven.spec.ts","",""
"","393","multiple API requests should complete within threshold","webkit","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","233","should handle invalid employee ID appropriately","webkit","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"","217","should access leave requests endpoint","chromium","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"","211","leave API endpoint should respond within threshold","webkit","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","496","should verify API is accessible","firefox","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"","235","API endpoint should respond within threshold","chromium","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"","7849","should display error message on invalid login","webkit","2026-04-15","passed","2026-04-15","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","1859","home page should load within threshold","chromium","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"Verify error message is shown for invalid login","3571","should handle invalid credentials gracefully @major","webkit","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","456","should access leave requests endpoint","firefox","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"Verify that an admin can navigate to the employee list","5724","should navigate to employee list @smoke @major","chromium","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","598","should handle API authentication","webkit","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"Verify error message is shown for invalid login","3839","should handle invalid credentials gracefully @major","chromium","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","225","should handle invalid employee ID appropriately","chromium","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"Verify that the employee table section is visible after navigation","8019","should display employee section @minor","firefox","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3981","should display validation for empty fields @minor","chromium","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","222","should verify Leave API endpoint","chromium","2026-04-15","passed","2026-04-15","Leave API Tests","api/employee-api.spec.ts","",""
"Verify that the employee list page loads with the correct URL","7814","should verify employee list page loads @major","firefox","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","9211","should be on leave section after login","firefox","2026-04-15","passed","2026-04-15","Leave Management Tests with Page Objects","smoke/leave.spec.ts","",""
"","4015","should display error message on invalid login","chromium","2026-04-15","passed","2026-04-15","Cross-Browser Login Tests","cross-browser/login-cross-browser.spec.ts","",""
"","574","should verify API is accessible","webkit","2026-04-15","passed","2026-04-15","Employee API Tests","api/employee-api.spec.ts","",""
"","393","Example test @smoke","firefox","2026-04-15","passed","2026-04-15","","smoke/example.spec.ts","",""
"","2229","login page should load within threshold","firefox","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"Verify that the employee list page loads with the correct URL","8342","should verify employee list page loads @major","webkit","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","2741","login page should load within threshold","webkit","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"Verify validation error is displayed when submitting empty login form","3557","should display validation for empty fields @minor","webkit","2026-04-15","passed","2026-04-15","Login Tests @smoke","smoke/login.spec.ts","",""
"","3761","Login with Admin should success","chromium","2026-04-15","passed","2026-04-15","","data-driven/login-data-driven.spec.ts","",""
"Verify that an admin can navigate to the employee list","7635","should navigate to employee list @smoke @major","firefox","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","1895","login page should load within threshold","chromium","2026-04-15","passed","2026-04-15","Performance Tests","performance/performance.spec.ts","",""
"Verify that the employee list page loads with the correct URL","5527","should verify employee list page loads @major","chromium","2026-04-15","passed","2026-04-15","Employee Management Tests @employee","smoke/employee.spec.ts","",""
"","4530","Login with Admin should success","webkit","2026-04-15","passed","2026-04-15","","data-driven/login-data-driven.spec.ts","",""
"","4223","Login with invalid_user should failure","firefox","2026-04-15","passed","2026-04-15","","data-driven/login-data-driven.spec.ts","",""
